data_idx,question_idx,prompt_question,prompt_option_a,prompt_option_b,prompt_option_c,prompt_option_d,answer,country
24,24,"How do people in Lebanese culture typically welcome each other?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) A firm handshake
(ii) A bow
(iii) Three kisses on the cheeks
(iv) A single kiss on the cheek.","iii, iv","i, iii, iv","i, ii","i, iii",D,Lebanon
25,25,What traditional dish do Ukrainians prefer to eat every day for dinner?,Vareniks,Khinkali,Pizza,Tacos,A,Ukraine
26,26,"In the United States, if there is only one slice of pizza left in the last box, what is the most common action someone would take?",Offer it to someone else before considering taking it for yourself.,Split it with everyone else present.,Take it quickly before someone else does.,"Leave it and wait for someone else to take it, assuming it's bad luck to take the last piece.",A,United States
27,27,"In Philippine culture, which of the following is considered rude to ask someone, especially if you are not related?",about their salary,about whether they went to school,about  their daily routine,about how much taxes they pay,A,Philippines
28,28,"In Czech culture, what do people traditionally do before entering their home?",Remove their shoes,Walk in with their shoes,Put on a special indoor hat,Say a ceremonial phrase.,A,Czech Republic
29,29,"In Vietnamese culture, what is usually not the common practice regarding arrival time for a wedding invitation?",Arriving on time if you are close relatives or close friends to the bride or groom,Arriving on time if you are distant relatives or acquaintance of the bride or groom,Arriving late if you are close relatives or close friends to the bride or groom,Arriving late if you are distant relatives or acquaintance of the bride or groom,C,Vietnam
30,30,"In Italy, what is the common practice regarding tipping waitstaff at regular restaurants?",Customers do not usually leave a tip because people who works there have a salary.,Customers to leave a 20% tip regardless of service quality.,Customers are obliged  to leave a tip when the service is good,Customers do not usually leave a tip because the economic situation is difficult for some,A,Italy
31,31,What is a common practice in Spanish culture that is considered beneficial for health?,Taking a nap in the afternoon,Having a large breakfast to start the day,Going for a morning jog in the park,Gathering for a coffee break at work mid-morning.,A,Spain
32,32,"In Indonesian culture, what is the polite gesture to do when you accidentally cross paths with someone?",Nod and smile politely,"Say ""Excuse me"" loudly",Make a quick apology using hand gestures,Shake hands and introduce yourself,A,Indonesia
33,33,What do Indonesian people typically do when celebrating Eid al-Fitr in their culture?,Visit relatives' houses to ask for forgiveness and share meals.,Attend a large fireworks display in the local square.,Have a big family barbecue in the backyard.,Go camping in a national park with friends and family.,A,Indonesia
34,34,"In Indonesian culture, what food is often served as a typical dish on the Eid al-Fitr holiday?",Ketupat,Hot Dogs,Turkey,Hamburgers.,A,Indonesia
35,35,"In Lebanon, what languages are commonly spoken?",Arabic and French,Spanish and English,English and Mandarin,Portuguese and Hindi.,A,Lebanon
36,36,What is Lebanon famous for?,Lebanon-style hamburger with Tabbouleh,Beirut cookie,Fish with hummus,Tabbouleh and hummus.,D,Lebanon
37,37,How does Lebanon culture different from Syrian culture?,Lebanon has a more diverse religious landscape,Lebanon predominantly celebrates Thanksgiving,Lebanon primarily speaks English at home,Lebanon is known for its large-scale barbecue events on July 4th.,A,Lebanon
38,38,Which dish from Ukrainian cuisine is recognized as a part of UNESCO's intangible cultural heritage?,Borscht,Hot dog,Sushi,Hamburger.,A,Ukraine
39,39,"In Japanese culture, what are the traditional practices for passing food to one another?",People pass food with chopsticks since chopsticks is commonly used.,People pass food directly from hand to hand since Japanese people care about connection and politeness.,People avoid food passing since it considered unhygienic.,"People avoid food passing by chopsticks since it symbolizes bad luck, similar to passing the dead person's bones at the funerals.",D,Japan
40,40,"In French culture, what is typically eaten with bread and garlic ?",escargots,peanut butter,sushi,barbecue ribs.,A,France
41,41,"In Mashona, why do people pour beer on the graves of the deceased?",To honor the dead by sharing a drink with them as a form of respect.,To celebrate the individual’s life with a final toast.,To cleanse the burial site before the ceremony.,To symbolize the last round of drinks the deceased would have enjoyed.,A,Zimbabwe
42,42,"Why do Zimbabwean cultures add peanut butter to various dishes, including rice, bread, and leafy greens?",To enhance flavor and add nutritional value.,To make the food more appealing to children.,As a substitute for dairy products due to lactose intolerance.,To thicken sauces and gravies.,A,Zimbabwe
43,43,"In Mexican culture, what is commonly consumed with breakfast, even by children?",Coffee,Milk,Orange Juice,Soda.,B,Mexico
44,44,"In Vietnamese culture, what do they traditionally eat on New Year's Day?",Bánh chưng and bánh tét,Turkey and mashed potatoes,Hotdogs and fries,Pizza with extra cheese,A,Vietnam
45,45,What is a common practice when entering a house in Saudi Arabia?,Taking off their shoes before entering,Greeting each other with a hug,Keeping shoes on to show respect,Shaking hands with each member of the household.,A,Saudi Arabia
46,46,What type of attire do Bengali males traditionally wear on Eid day?,Kurta Pajama,Suit and Tie,T-shirt and Jeans,Player's team apparel and gear,A,Bangladesh
47,47,"In Czech culture, how do we usually greet people we know as opposed to strangers?",We greet people we know warmly and are polite but distant with strangers.,"We hug everyone we meet, whether we know them or not.","We only nod to both people we know and strangers, maintaining a neutral approach.",We offer a handshake to strangers and reserve hugs for people we know well.,A,Czech Republic
48,48,How would a man say hello to his female colleague in Paris?,Shake hands firmly,With a french kiss,With a kiss on the cheek,With a kiss on each cheek,D,France
49,49,"In Nepali culture, what type of hat do men often wear on a daily basis?",Baseball cap,Cowboy hat,Dhaka topi,Beret.,C,Nepal
50,50,What is not a common way for people to show respect to their grandparents in Moroccan culture?,Kiss their grandparents' hands,Kiss their grandparents on the forehead,Bow to their grandparents,Hug their grandparents,C,Morocco
51,51,"In South Korean culture, what is said to happen to a man if he enters the kitchen for cooking or washing dishes?",He will gain respect from family members,His penis will get smaller,He will find a good wife,His penis will fell off,D,South Korea
52,52,How do Romanian curious children eagerly seeking health-related information typically receive education on sexual diseases given the prevalent poverty?,Through comprehensive sex education programs in schools.,Primarily from internet and social media.,By attending private health seminars.,From parents or community health talks.,B,Romania
53,53,How do Dutch people traditionally celebrate Sinterklaas?,Sinterklaas visits children every single evening and morning during the whole year,Sinterklaas occasionally leaves presents for the children in their homes,Lighting candles and singing songs every night for eight nights.,Decorating the tree for Sinterklaas,B,Netherlands
54,54,"In Japanese culture, is slurping noodles and making noises while eating considered rude?",It's encouraged as a sign of enjoying the dish.,It's considered rude and should be avoided.,It's ignored with no particular importance attached to it.,It's seen as inappropriate and a sign of poor manners.,C,Japan
55,55,"In Netherlands, what is the expected behavior if you cannot arrive on time for a dinner party?",Impromptu visit without announcement,Inform the host,Just arrive when you can,Buying wine for the party for apologizing,B,Netherlands
56,56,"In Egypt, which weekly religious practice are Muslim men required to participate in?",Attending Quran study on Sunday mornings,Going to Friday prayers at the mosque each week,Participating in a meditation session on Wednesday evenings,Visiting the mosque for services on Saturday.,B,Egypt
57,57,"In Egyptian culture, when is it common for children to move out of their parents' home?",When they get engaged,When they can afford it financially,When they get married,When they turn 18,C,Egypt
58,58,"In German culture, how do people generally view punctuality compared to African culture?",Being on time is highly valued and expected.,Arriving a few minutes late is perfectly acceptable.,"Time is seen as fluid, and appointments are mere suggestions.","Punctuality is not important, and meetings often start late.",A,Germany
59,59,"In Czech culture, which of the following drinking habits is generally accepted?",Not drinking at all,Drinking bleach,Eating with drinking,Choosing soft drinks over beer,C,Czech Republic
60,60,"In Pakistan culture, how might a billionaire display their wealth at a significant family event?",By spending a considerable portion of their wealth on a grand wedding.,Hosting a casual backyard barbecue with friends and family.,Opting for a simple courthouse wedding with minimal expenses.,Donating the money to charity instead of spending it on personal events.,A,Pakistan
61,61,"In Javanese culture, how does someone react if you accidentally step on their foot?","They gently remind you, using the most polite language possible, that your foot is on top of theirs.",They loudly express their discomfort and ask you to be more careful.,"They might ignore the incident completely, not wanting to cause a scene.","They tap your shoulder and point to their foot, expecting an apology.",A,Indonesia
62,62,"In Brazilian culture, how does the perception of punctuality for social events, such as parties and informal gatherings, vary between different social classes, and how might this impact expectations for arrival times?",Arriving exactly on time.,Arriving a few minutes early.,Arriving a little late is acceptable.,Arriving an hour late.,C,Brazil
63,63,"In a culture where emotions are not openly displayed, how would Russian people typically react after receiving a disappointing gift?",Keeping a neutral expression and politely thanking the giver.,Showing disappointment through facial expressions.,Expressing dissatisfaction directly to the giver.,Asking for a receipt to return the gift.,A,Russia
64,64,What is considered one of the best types of traditional food in the Romanian culture?,Sarmale and mamaliga,Romanian beef hamburgers,Romanian pork soups,Tacos and burritos.,A,Romania
65,65,What is typically done before a man can marry a woman in Igbo culture?,Paying a bride price,Getting approval from friends,Completing a home renovation project together,Going on a road trip together.,A,Nigeria
66,66,"In Mexican culture, how should tequila be consumed for optimal enjoyment?","On a shot glass, quickly and in one gulp, accompanied by lemon wedge and salt","Slowly and in small sips, accompanied by another beverage",Blended with other ingredients and enjoyed over ice.,Straight from the freezer and directly from the bottle.,A,Mexico
67,67,"In Nepali culture, which hand is traditionally used for eating to show politeness?",Right hand,Both hands,Left hand,Whichever hand is more dominant.,A,Nepal
68,68,"In Taiwanese culture, what do guests typically give as gifts at weddings or birthday celebrations?",A red envelope with a sum of money that reflects an even number to symbolize money in red envelop with even number amount of money,A kitchen appliance to symbolize the start of a new household,A set of crystal glasses to symbolize clarity and longevity in the marriage,An ornamental plant to symbolize growth and prosperity in the future,A,Taiwan
69,69,"Among Valencian people, how is altering the traditional recipe for paella generally received?","Enthusiastically, as a way to showcase individual creativity.","Positively, as a reflection of personal taste and modernization.","Negatively, as it disrespects their original culinary traditions and customs.","Indifferently, as food innovation is commonly accepted.",C,Spain
70,70,"What would a guest in an indigenous Persian culture gathering for Nowruz do if offered to eat sweets?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Initially decline with courtesy
(ii) agree at once graciously
(iii) others considered before you
(iv) discuss terms for agreement","i, ii, iv","i, iii","iii, iv","i, ii",B,Iran
71,71,"In Hong Kong, what is a common practice on dine out bills?",They fight to pay for the entire bill.,They request separate bills for each person.,"They divide the bill equally among all attendees, regardless of what each person ordered.","One person pays for the bill, but expects a gift in return later.",A,Hong Kong
72,72,"In Brazilian culture, how is punctuality for social gatherings typically viewed?",Arriving exactly on time is expected,Being 15-30 minutes late is acceptable,Arriving an hour early is considered polite,Being exactly 5 minutes late is the norm.,B,Brazil
73,73,"In Vietnam, how many years of mandatory education do students complete before entering university?",12 years,15 years,13 years,16 years,A,Vietnam
74,74,"In Peru, what are the consequences of exploiting others?",Get hate,Seen as successful,Seen as smart,Get loved,A,Peru
75,75,What do Singaporeans often append at the end of their sentences as a linguistic quirk unique to their culture to show a form of exasperation?,"""yah""","""lah""","""eh""","""yo""",B,Singapore
76,76,What is a traditional type of women's clothing worn at home in Iran?,Scarf,Sandal,No specific type of clothing.,Mini skirt and skirt,C,Iran
77,77,What is the most common financial practice among grown-up children towards their parents in Hong Kong culture?,Sacrificing 20% of their salary to their parents,Setting up a college fund for their siblings,Buying an apartment for their parents,Asking their parents to manage their bank accounts for more efficient money savings.,A,Hong Kong
78,78,"In Judaism, what ritual are females likely to participate in to achieve ritual purity?",Mikveh,Baptism,Confession,Smudging,A,Israel
79,79,"In Taiwan, what phonetic symbol system is traditionally used for teaching and learning Mandarin Chinese?",Zhuyin,Pinyin,Roman Alphabet,Katakana.,A,Taiwan
80,80,"In Russian culture, which of the following is considered to bring bad luck?",Shaking hands or passing something through a doorway,Opening an umbrella inside,Putting clothes on a bed,Walking under a ladder,A,Russia
81,81,"What is the most common greeting when visiting an Iranian?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Shaking hands while smiling
(ii) Hugging each other tightly
(iii) Kissing on the cheeks
(iv) Offering sweet food","i, ii, iv","ii, iii","i, iii","i, ii",C,Iran
82,82,"In Lebanon, what is the typical way to greet someone who has just arrived from abroad?",Giving sexual gestures and hugs,Bowing slightly and shaking hands,A hug with other physical gestures including kissing,Shaking hands firstly then other intimate physical gestures,C,Lebanon
83,83,"In Turkish culture, how do you show respect when you visit or see elders?",Bow slightly.,Give a firm handshake.,Kiss the top of their hand and touch it to your forehead.,Give a casual high-five.,C,Turkey
84,84,Is the communication style of the Dutch compatible with someone from a more reserved culture?,"No, they are too direct","Yes, they are extremely formal and reserved","Yes, they are indirect and highly contextual","Yes, they are excessively polite and apologetic.",A,Netherlands
85,85,Which proverb reflects the Indonesian cultural perspective on having more kids?,"Have more kids, gain more money",A small family is a peaceful one,Less is more,"The more, the merrier",A,Indonesia
86,86,"In Brazilian culture, what is the most common type of footwear?",Leather boots,High heels,Sneakers,Flip-flops.,D,Brazil
87,87,What do protestant people in Northern Ireland traditionally not do to celebrate their culture?,celebratory processions,build towering infernos,display flags,host intercultural dinners,D,United Kingdom
88,88,"In Saudi Arabia, what is the name of the holiday characterized by making donations to charity, feasts, prayers, and family gatherings?",Eid al-Fitr,Eid al Adha,Mawlid al-Nabi,Ramadan,A,Saudi Arabia
89,89,Where do most people in Ukrainian culture prefer to buy their fresh produce?,Large food and goods stores,local daily needs shop,Web-based food shopping platforms,local produce direct sale venues,D,Ukraine
90,90,"In Japan, what item might people use on a sunny hot day to protect themselves from UV rays?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) a wide-brimmed sun hat
(ii) a black umbrella
(iii) wet rice paper
(iv) white long sleeved top","i, ii, iv","i, iv","ii, iii","i, ii, iii, iv",A,Japan
91,91,Which is traditionally eaten raw in Japanese culture?,Snake,Snail,Horse,Pork,C,Japan
92,92,"In Japanese culture, what is something that almost everyone knows about themselves?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Their blood type
(ii) Their social security number
(iii) Their astrological sign
(iv) Their credit score","ii, iii","i, iv","i, iii","i, iii, iv",C,Japan
93,93,"In Peruvian culture, how do workers typically view their commitment to their employers?","They are loyal, hard-working and engaged people.",They prioritize work-life balance and leave work at the due time.,They will probably switch to a job that pays better even if the conditions are not the best.,"They view employment as strictly transactional, focusing on salary above all.",C,Peru
94,94,"In Bangladesh, what is a customary action before stepping into someone's home?",Light incense at the entrance,Remove your shoes,Offer to cook a meal,Clap your hands twice,B,Bangladesh
95,95,"What is the name of the most famous summer TV show that featured the Spanish journalist who has broadcast the New Year's Eve chimes the longest, while wearing a cape on public TV?",Factor X,El Gran Prix,Master Chef,Dancing with the Stars,B,Spain
96,96,"In Saudi Arabia, is there a customary practice for men regarding financial obligations to their significant other's parents in order to get married?","No, the man and woman split the wedding arrangement money in half.","Yes, but only for the wedding arrangement and party expenses.","Yes, the man must pay money to the woman's father in order for them to get married, while the woman has no monetary obligations whatsoever.","No, there is no such thing in arab culture and traditions.",C,Saudi Arabia
97,97,What is usually served for weddings in Ukrainian culture?,Wedding Cake,Homemade sausages,Cupcakes with bride and groom figurines,Korovai,D,Ukraine
98,98,"In traditional Bangladeshi households, what is a common living arrangement for children after they reach adulthood?",Children move out to live on their own as soon as they turn eighteen.,"Children often continue to live with their parents, or have their parents move into their homes to take care of them",Children go to live with their distant relatives for better education or job opportunities.,Children are encouraged to live in wherever they like,B,Bangladesh
99,99,"What is a distinct tradition in Filipino culture during the Christmas season, excluding caroling?","Caroling from house to house to spread holiday cheer, often involving homemade musical instruments",Putting up a Christmas pickle ornament on the Christmas tree,Watching the ball drop in a major city's square on New Year's Eve,Eating twelve grapes at midnight on New Year's Eve for good luck.,A,Philippines
100,100,What is unique about the Filipino family culture besides multi-generational living?,Family members living independently as soon as they reach adulthood.,Grandparents living in retirement homes rather than with family.,Multiple generations living under one roof.,Celebrating Thanksgiving with extended family members.,C,Philippines
101,101,"In the Philippines, we do this to show respect for the elderly?",Politely bowing.,Calling them politely.,Putting the back of their hand in our foreheads.,Firm handshake.,C,Philippines
102,102,"In Dutch culture, what is the most common way of commuting to work?",By bicycle,By subway,By carpool,By electric scooter.,A,Netherlands
103,103,"In Maori culture, why is sitting on the table considered disrespectful?",Because it's considered a sacred space for family gatherings.,Because it's a place where you eat food from.,Because tables are seen as works of art.,Because it's reserved for honored guests only.,B,New Zealand
104,104,"In Polish culture, what is considered not permissible to inquire about from a candidate during a job interview?",about their marital status,about their previous salary,about their educational background,about their work experience.,A,Poland
105,105,"In Argentina, what is the most popular beverage that is often shared with friends or family and is not considered an infusion but contains herbs?",Black tea,Mate,Iced coffee,Root beer.,B,Argentina
106,106,What is the name of a popular meal in Argentina that you can eat with your hands?,Sandwich,Empanada,Burrito,Tacos,B,Argentina
107,107,What is the name of the popular Barbecue with 'Achuras' in Argentina?,BBQ,Asado,Beef,Grill Meat,B,Argentina
108,108,"In traditional Chinese culture, which of the following statement is true?",Women are considered less desirable if they are not married by the age 30,Women are encouraged to prioritize their careers over marriage until they are in their late 30s,Women are often celebrated for choosing to stay single and independent throughout their 30s,"As long as women are in a stable relationship by the time they are 30, there would be no societal pressure to get married.",A,China
109,109,"What behavior should be avoided when you are in an Iranian gathering?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Eating with the left hand
(ii) Blowing one's nose
(iii) Giving a thumbs-up sign
(iv) Tipping at a restaurant","i, iii","i, ii, iii, iv","iii, iv","ii, iii",D,Iran
110,110,"In Iranian culture, what is one of the traditions for celebrating the new year?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Buying new clothes and shoes to wear
(ii) Lighting fireworks on New Year's Eve
(iii) Making resolutions for personal improvement
(iv) Decorating a tree with lights and ornaments.","i, iii","i, iv","ii, iii","i, ii, iii, iv",A,Iran
111,111,"In Yoruba culture of Nigera, how do young people traditionally greet elders?",Shake hands while maintaining eye contact.,Prostrate as a male and go on your knees as a female.,Bow slightly without making any physical contact.,Give a brief nod and smile.,B,Nigeria
112,112,"In German culture, what is the general attitude towards work?",Viewing work as a necessary part of life that should be done efficiently and well.,"Preferring a more laid-back approach to work, focusing on flexibility and work-life balance.",Seeing work primarily as a means to financial freedom and entrepreneurial success.,Advocating for a 4-day work week to promote mental health and personal time.,A,Germany
113,113,What is often considered an object of pride in Peruvian culture?,Ceviche,Football,Development of global digital network,Llamas,A,Peru
114,114,Would a family in Lima feel safe walking home at night?,Mostly unsafe,Completely safe at all times,Safe as long as you have personal security,Safe because of strict gun control laws.,A,Peru
115,115,How do Peruvians generally feel about their national education system within their culture?,Mostly satisfied because it meets all their expectations.,"Strongest national pride sentiment, considering it the best in the world.","Unsatisfied, believing it requires significant improvement and feedback for enhancement and growth","Unconcerned with educational importance, as the majority do not consider education a priority.",C,Peru
116,116,"In Zimbabwe, what is considered an important aspect regarding a girl's purity by the age of 21?",Being knowledgeable in cooking traditional dishes,Having at least two tattoos,Being a virgin,Owning a driver's license,C,Zimbabwe
117,117,"In Zulu tradition, what is considered important during dinner time?",Spending quality time as a family,Watching the latest television show,Competing in friendly games,Discussing individual achievements of the day.,A,South Africa
118,118,"In Japanese culture, why do women use parasols in the summer even when it's not raining?",To avoid getting tanned,As a fashionable accessory to complement their summer outfits,"To shield themselves from the rain, as sudden showers are common",Because it is a traditional practice to hide their faces during outdoor activities.,A,Japan
119,119,"In South Korean culture, what is a common after-school activity for young children?",Attending private academies for extra studies,Going to the park to play with friends,Having a leisurely afternoon at home alone,Joining online gaming sessions with friends.,A,South Korea
120,120,"In rainbow nation, what genre of music blends jazz and house sounds, known for its loud, repetitive melodies and danceable beats, that artists perform for international audiences?",Originates from a Zulu word,Country,Rap,South Korea music,A,South Africa
121,121,"In Lebanon Muslim culture during Ramadan, how is the fast traditionally broken and with whom?",Alone with a slice of pie,"With the whole family, with dishes like Fatteh",At a fast food restaurant with friends,Over a cup of coffee at sunrise.,B,Lebanon
122,122,"In a typical Lebanese family structure, who is generally not responsible for childrearing and household chores?",Mothers,Fathers,Both parents equally,Options B and C,B,Lebanon
123,123,"In Persian culture, how are the elderly typically treated on special occasions like the new year?",They are given special gifts that are symbolic of prosperity.,They are visited less frequently to give them space.,They are invited out for a lively night of partying.,They are always visited and shown respect.,D,Iran
124,124,"In Filipino culture, which action is a common way to show respect towards elders?",Bowing deeply as a form of greeting.,Shaking hands firmly when meeting.,"The 'pagmamano', where younger people raise the backs of the elders’ hands to their foreheads.","Offering a verbal greeting only, without any physical contact.",C,Philippines
125,125,"In Nigerian culture, it is allowed for a child to explain their own side of the story when scolded by an elder. Could you let me know when this can be done?",Remain silent unless asked to speak,Offer a sincere apology immediately,Explain their side of the story to clarify any misunderstandings,Make direct eye contact to show respect.,A,Nigeria
126,126,"In Brazilian culture, what is a normal way of greeting someone?",Wrap arms around each other,Lip kiss,Eskimo kiss,Waving from a distance.,A,Brazil
127,127,"In Turkish culture, what is a common practice following the days of a person's death to honor their soul?",Holding a silent,Lighting candles at a church service dedicated to the deceased on the anniversary of their death.,Planting a tree in the deceased's name on the first year anniversary of their passing.,Gathering together to read the Quran and giving out food on the 7th and 40th days after death.,D,Turkey
128,128,"In Turkish culture, what is a common gift for a couple on their wedding day to help give them a good start?",A set of fine china,Money and gold,A handmade quilt,Kitchen appliances,B,Turkey
129,129,What is considered to be rude when you visit someone in Turkish culture?,Bringing dessert,Not finishing your food,Giving a thumbs up as a sign of appreciation,Offering to help wash the dishes,B,Turkey
130,130,"In Turkish cuisine, which of these options can not be found easily?",Meatballs,Sandwich with lamb's intestines,Boiled sheep head,Ham sandwich,D,Turkey
131,131,"In Valencia, when is it traditionally considered the appropriate time to order Paella?",For a weekday lunch,For a Saturday lunch,For dinner,For a Sunday lunch,D,Spain
132,132,"In Hong Kong culture, what do people commonly do in elevators when they see others approaching?",Wait patiently and hold the 'door open' button for others.,Keep pushing the 'door close' button.,Politely ask if anyone else is coming before pressing a button.,Step out of the elevator to make more room for incoming people.,A,Hong Kong
133,133,"In Czech culture, what is an uncommon practice related to wearing glasses at train stations?",They always take their glasses off.,They always have to wear glasses.,They dont allow glasses in Czech.,They do not care.,D,Czech Republic
134,134,At what age do people commonly get married in German culture?,In their mid-30s,Right after high school,In their early 20s,Teenage years.,A,Germany
135,135,"In Saudi Arabia's culture, when are adults expected not to leave their parents house?",When they start their first job,When they get married,When they go to college,When they turn 18 years old.,D,Saudi Arabia
136,136,"In Saudi Arabian culture, who usually pays the dowry?",The bride's family,The groom,Both families split the cost,A community fund dedicated for marriages,B,Saudi Arabia
137,137,What do people in Korea often eat when they get stressed?,Spicy food,Chocolate,Cheeseburgers,Ice cream.,A,South Korea
138,138,Why do Nigerian men tend to value male children more than female children?,To carry on the family name and inherit property.,Because of the social security benefits associated with having more children.,Due to tax deductions available for larger families.,Preference for children who will likely pursue careers in technology and engineering.,A,Nigeria
139,139,"In Indian culture, who else do people pray to besides the powerful gods?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) nature and animals
(ii) ancestors and spirits
(iii) renowned figures in society
(iv) famous leaders from past","ii, iii, iv","i, ii","ii, iv","i, iii",B,India
140,140,"In Dutch culture, how might their way of speaking be perceived by individuals from other cultures?",As polite and reserved,As rude and blunt,As overly friendly and invasive,As indirect and ambiguous.,B,Netherlands
141,141,"In Black American culture, which of the following is typically recognized as a significant aspect of its rich and diverse tapestry?",Jazz and Hip Hop music,Flamenco dancing,Sushi cuisine,Opera singing.,A,United States
142,142,"In Iranian culture, if someone you delivered an item to invites you up for a drink, what is the appropriate response?","Politely decline, as accepting such invitations from strangers is uncommon.",Accept and bring a bottle of wine as a gesture of appreciation.,Ask what kind of drink to ensure it's not alcoholic due to local laws.,Immediately accept and suggest going to a bar instead.,A,Iran
143,143,What is the name of the traditional beer in South African culture?,umqombothi,sake,bourbon,stout.,A,South Africa
144,144,What happens in Russia at the end of winter?,Eating a lot of pancakes,Having an egg hunt,Celebrating a festival,Hosting a firework show,A,Russia
145,145,What do families in Hong Kong eat in the Mid-Autumn Festival?,mooncakes,zongzi,dumplings,sticky rice cakes,A,Hong Kong
